source,name,lon,lat,area_km2
MausV2,,129.26821,42.23719,9.8872
TangWerner,2,129.26821,42.23719,9.8806
MausV2,,129.23946,42.24727,2.9413
TangWerner,2,129.23945,42.24726,2.9311
MausV2,,126.05402,39.46053,2.3618
TangWerner,2,126.05403,39.46054,2.3605
MausV2,,128.80691,40.89527,1.7921
TangWerner,未命名多边形,126.16884,39.48627,1.7543
TangWerner,未命名多边形,128.8066,40.89479,1.5519
MausV2,,128.90083,41.08572,1.545
TangWerner,未命名多边形,126.20253,39.49414,1.3825
MausV2,,125.67613,38.07239,1.1841
TangWerner,未命名多边形,128.90088,41.08678,1.1478
TangWerner,未命名多边形,126.04629,39.50223,0.963
TangWerner,未命名多边形,126.24471,39.56157,0.8931
TangWerner,未命名多边形,126.19415,39.57113,0.8433
MausV2,,129.30163,42.23979,0.7327
TangWerner,未命名多边形,126.23297,39.71662,0.7102
TangWerner,未命名多边形,126.04569,39.68259,0.6807
MausV2,,126.03328,39.49167,0.6662
TangWerner,2,126.03328,39.49167,0.6648
TangWerner,未命名多边形,126.15025,39.75766,0.6463
MausV2,,126.80457,41.73622,0.6297
TangWerner,未命名多边形,126.10139,39.46806,0.5757
TangWerner,未命名多边形,126.05754,39.70911,0.5339
TangWerner,未命名多边形,126.07121,39.83864,0.5107
TangWerner,未命名多边形,129.29914,42.24003,0.4976
TangWerner,未命名多边形,126.05543,39.6965,0.4963
TangWerner,未命名多边形,126.06045,39.55025,0.4943
TangWerner,未命名多边形,128.72803,40.59245,0.4679
TangWerner,未命名多边形,126.20888,39.56905,0.4567
TangWerner,未命名多边形,126.18362,39.78001,0.4513
TangWerner,2,126.07143,39.46018,0.4349
MausV2,,126.07143,39.46015,0.4309
TangWerner,2,126.02869,39.4723,0.4299
TangWerner,未命名多边形,126.22975,39.52929,0.4297
TangWerner,未命名多边形,126.19752,39.79471,0.4278
MausV2,,126.02865,39.47232,0.4267
TangWerner,未命名多边形,126.16396,39.81625,0.4185
TangWerner,未命名多边形,128.84619,40.86777,0.4044
MausV2,,125.68717,38.0688,0.3883
TangWerner,未命名多边形,126.03103,39.51937,0.3643
TangWerner,未命名多边形,126.17624,39.7193,0.3425
TangWerner,未命名多边形,126.17502,39.47489,0.342
MausV2,,128.72819,40.59986,0.3347
TangWerner,未命名多边形,126.1042,39.47729,0.3047
TangWerner,未命名多边形,126.07968,39.55504,0.2877
TangWerner,未命名多边形,126.15062,39.48057,0.2638
TangWerner,未命名多边形,126.07411,39.82988,0.2509
TangWerner,未命名多边形,126.09556,39.48085,0.2383
TangWerner,未命名多边形,126.16082,39.56713,0.2355
TangWerner,未命名多边形,126.12797,39.47524,0.2163
TangWerner,未命名多边形,126.02683,39.51256,0.2146
TangWerner,未命名多边形,126.234,39.5667,0.2146
TangWerner,未命名多边形,126.20023,39.71079,0.2127
TangWerner,未命名多边形,126.14476,39.56966,0.2115
MausV2,,128.77556,40.98904,0.2068
TangWerner,未命名多边形,126.21458,39.49565,0.2007
TangWerner,未命名多边形,126.2006,39.80382,0.2007
TangWerner,未命名多边形,126.07237,39.73882,0.1971
MausV2,,127.2435,40.3405,0.1924
TangWerner,未命名多边形,126.08132,39.73098,0.1856
TangWerner,未命名多边形,126.10587,39.56382,0.1805
TangWerner,未命名多边形,126.05978,39.48409,0.1798
TangWerner,未命名多边形,126.13198,39.56666,0.1781
TangWerner,未命名多边形,126.01087,39.50443,0.1763
TangWerner,未命名多边形,126.22835,39.51424,0.1735
TangWerner,未命名多边形,128.77629,40.98783,0.1714
TangWerner,未命名多边形,126.08101,39.74287,0.1639
TangWerner,未命名多边形,126.11991,39.47542,0.1609
TangWerner,未命名多边形,125.98901,39.60265,0.1544
TangWerner,未命名多边形,126.23939,39.54787,0.1447
TangWerner,未命名多边形,126.21729,39.50355,0.1357
MausV2,,129.28641,42.24837,0.1261
TangWerner,未命名多边形,126.09815,39.81642,0.1221
TangWerner,未命名多边形,126.15357,39.81977,0.1211
MausV2,,127.28478,39.58112,0.0981
MausV2,,126.07712,39.45553,0.0863
MausV2,,126.00672,39.47243,0.0859
MausV2,,127.28887,39.58037,0.0775
MausV2,,126.03382,39.499,0.07
MausV2,,127.24914,40.3592,0.0621
MausV2,,127.31126,39.56682,0.062
MausV2,,127.31522,39.56425,0.0344
MausV2,,128.75763,41.00144,0.0311
MausV2,,128.74755,41.00064,0.0281
MausV2,,126.07399,39.46582,0.0264
MausV2,,126.16802,39.43382,0.0255
MausV2,,126.17247,39.42997,0.0147
MausV2,,128.75752,40.99682,0.0096
