run,task,arm,classifier,n,n_pos,n_blocks,ratio,ci_lo,ci_hi,how,aef_auc_at_40,full_aef,full_base,excl_uncertain,landscape_neg
amazon_E,amazon,E,log,14711,7440,79,3.726,2.678,8.302,interpolated,0.8814,0.9751,0.9281,False,False
amazon_E,amazon,E,lgbm,14711,7440,79,1.545,1.044,1.772,interpolated,0.8352,0.9773,0.9457,False,False
amazon_E,amazon,E,knn,14711,7440,79,3.402,1.968,5.722,interpolated,0.8637,0.9803,0.9428,False,False
amazon_E,amazon,E,mlp,14711,7440,79,0.619,0.5,0.97,interpolated,0.7729,0.9934,0.9687,False,False
amazon_E_S1,amazon,E,log,14710,7439,79,4.188,3.188,16.915,interpolated,0.8829,0.9754,0.9281,True,False
amazon_E_S1,amazon,E,lgbm,14710,7439,79,1.581,1.147,2.09,interpolated,0.8345,0.9774,0.9461,True,False
amazon_E_S2,amazon,E,log,14709,7440,78,7.073,2.854,9.885,interpolated,0.9764,0.9956,0.9868,False,True
amazon_E_S2,amazon,E,lgbm,14709,7440,78,1.09,0.901,1.536,interpolated,0.9617,0.9952,0.9896,False,True
amazon_U,amazon,U,log,15271,8000,79,29.803,9.119,50.0,interpolated,0.84,0.9528,0.8569,False,False
amazon_U,amazon,U,lgbm,15271,8000,79,2.745,1.693,3.824,interpolated,0.7931,0.9595,0.9086,False,False
amazon_U,amazon,U,knn,15271,8000,79,3.625,2.399,7.731,interpolated,0.7901,0.963,0.8928,False,False
amazon_U,amazon,U,mlp,15271,8000,79,2.664,1.265,3.724,interpolated,0.7355,0.9863,0.9272,False,False
amazon_U_S2,amazon,U,log,15269,8000,78,42.499,6.819,50.0,interpolated,0.8867,0.9706,0.8959,False,True
amazon_U_S2,amazon,U,lgbm,15269,8000,78,1.829,1.004,1.914,interpolated,0.8326,0.9644,0.9132,False,True
gha_ind_E,gha_ind,E,log,7998,4000,36,5.241,3.144,16.27,interpolated,0.8873,0.9744,0.923,False,False
gha_ind_E,gha_ind,E,lgbm,7998,4000,36,2.307,1.39,4.039,interpolated,0.8563,0.9696,0.9372,False,False
gha_ind_E,gha_ind,E,knn,7998,4000,36,2.795,0.881,25.272,interpolated,0.8588,0.9684,0.9222,False,False
gha_ind_E,gha_ind,E,mlp,7998,4000,36,0.55,0.5,1.574,interpolated,0.727,0.9824,0.951,False,False
gha_ind_U,gha_ind,U,log,6860,2862,36,13.951,4.074,50.0,interpolated,0.8421,0.9677,0.8615,False,False
gha_ind_U,gha_ind,U,lgbm,6860,2862,36,3.686,1.634,7.823,interpolated,0.8073,0.9601,0.8927,False,False
gha_ind_U,gha_ind,U,knn,6860,2862,36,2.265,1.245,6.409,interpolated,0.7894,0.9509,0.8778,False,False
gha_ind_U,gha_ind,U,mlp,6860,2862,36,0.793,0.5,2.365,interpolated,0.6647,0.979,0.9025,False,False
gha_unc_E,gha_unc,E,log,7998,4000,36,5.241,3.144,16.27,interpolated,0.8873,0.9744,0.923,False,False
gha_unc_E,gha_unc,E,lgbm,7998,4000,36,2.307,1.39,4.039,interpolated,0.8563,0.9696,0.9372,False,False
gha_unc_E,gha_unc,E,knn,7998,4000,36,2.795,0.881,25.272,interpolated,0.8588,0.9684,0.9222,False,False
gha_unc_E,gha_unc,E,mlp,7998,4000,36,0.55,0.5,1.574,interpolated,0.727,0.9824,0.951,False,False
gha_unc_U,gha_unc,U,log,5136,1138,36,50.0,8.701,50.0,censored_at_2000,0.8871,0.9623,0.8668,False,False
gha_unc_U,gha_unc,U,lgbm,5136,1138,36,3.429,0.8,7.787,interpolated,0.7995,0.9593,0.8914,False,False
gha_unc_U,gha_unc,U,knn,5136,1138,36,6.975,1.408,50.0,interpolated,0.8197,0.942,0.8644,False,False
gha_unc_U,gha_unc,U,mlp,5136,1138,36,0.915,0.5,4.404,interpolated,0.6372,0.9654,0.9207,False,False
